ref_no	url	price	no_bedrooms	prop_type	date_listed	address	latitude	longitude	channel	air_dna_city	property_id	listing_title	property_type	listing_type	created_date	last_scraped_date	country	state	city	zipcode	neighborhood	metropolitan_statistical_area	currency_native	average_daily_rate_usd	average_daily_rate_native	annual_revenue_ltm_usd	annual_revenue_ltm_native	occupancy_rate_ltm	number_of_bookings_ltm	number_of_reviews	bedrooms	bathrooms	max_guests	calendar_last_updated	response_rate	airbnb_response_time_text	airbnb_superhost	home_away_premier_partner	cancellation_policy	security_deposit_usd	security_deposit_native	cleaning_fee_usd	cleaning_fee_native	extra_people_fee_usd	extra_people_fee_native	published_nightly_rate_usd	published_monthly_rate_usd	published_weekly_rate_usd	check_in_time	checkout_time	minimum_stay	count_reservation_days_ltm	count_available_days_ltm	count_blocked_days_ltm	number_of_photos	instantbook_enabled	listing_url	i.latitude	i.longitude	exact_location	overall_rating	airbnb_communication_rating	airbnb_accuracy_rating	airbnb_cleanliness_rating	airbnb_checkin_rating	airbnb_location_rating	airbnb_value_rating	pets_allowed	integrated_property_manager	home_away_location_type	airbnb_property_plus	airbnb_home_collection	license	airbnb_property_id	airbnb_host_id	home_away_property_id	home_away_property_manager_id
98010533	https://www.rightmove.co.uk/properties/98010533#/?channel=RES_BUY	46000000	0	Not Specified	2020-10-03	Brook Street, London, W1K	51.5132	-0.1463	For sale	London	ab-7099357	MODERN 1-BED APARTMENT IN SOHO / CHINATOWN	Apartment	Entire home/apt	2015-07-01	2021-03-09	United Kingdom	London	London	NA	Mayfair	NA	GBP	152.35	110.43	4723	3423	1	1	63	1	1	4	2019-08-30	93	within an hour	FALSE	FALSE	strict_14_with_grace_period	329	250	90	45	NA	NA	198	8846	2212	After 3:00 PM	11:00 AM	3	31	0	0	12	TRUE	https://www.airbnb.com/rooms/7099357	51.51107	-0.13436	FALSE	95	10	10	9	10	10	9	TRUE	NA	NA	FALSE	NA		7099357	10370524	10544503ha	
98010533	https://www.rightmove.co.uk/properties/98010533#/?channel=RES_BUY	46000000	0	Not Specified	2020-10-03	Brook Street, London, W1K	51.5132	-0.1463	For sale	London	ab-7142684	ASK FOR LAST MINUTE RATES! BEST OF COVENT GARDEN	Condominium (condo)	Entire home/apt	2015-07-02	2022-03-04	United Kingdom	London	London	NA	Mayfair	NA	GBP	419.36	304.31	65840	47776	0.555	48	49	3	2	6	2019-08-31	100	within an hour	TRUE	NA	flexible	263	200	161	120	20	15	133	9215	2304	After 3:00 PM	11:00 AM	3	157	126	82	44	TRUE	https://www.airbnb.com/rooms/7142684	51.51172	-0.13277	FALSE	92	10	9	9	10	10	9	FALSE	NA	NA	FALSE	NA		7142684	857701		
98010533	https://www.rightmove.co.uk/properties/98010533#/?channel=RES_BUY	46000000	0	Not Specified	2020-10-03	Brook Street, London, W1K	51.5132	-0.1463	For sale	London	ab-7215445	Amazing and modern 2BR apartment 5mins from Leicester square	Rental unit	Entire home/apt	2015-07-06	2022-03-04	United Kingdom	London	London	NA	Mayfair	NA	GBP	330.75	240.95	53250	38793	0.925	41	76	2	1	6	2019-07-09	96	within an hour	FALSE	FALSE	moderate	NA	NA	161	NA	NA	NA	339	9206	2301	After 3:00 PM	10:00 AM	3	161	13	69	16	TRUE	https://www.airbnb.com/rooms/7215445	51.51266	-0.13074	FALSE	90	9	9	9	10	10	9	FALSE	NA	NA	FALSE	NA		7215445	25727709	1869333ha	
98010533	https://www.rightmove.co.uk/properties/98010533#/?channel=RES_BUY	46000000	0	Not Specified	2020-10-03	Brook Street, London, W1K	51.5132	-0.1463	For sale	London	ab-7215565	Beautiful and modern 2BR apartment 5mins from Leicester square	Rental unit	Entire home/apt	2015-07-06	2022-03-04	United Kingdom	London	London	NA	Mayfair	NA	GBP	337.71	247.3	84428	61825	0.755	94	61	2	1	6	2019-07-14	96	within an hour	FALSE	FALSE	moderate	388	300	161	70	NA	NA	362	8735	2184	After 3:00 PM	10:00 AM	3	250	81	34	19	TRUE	https://www.airbnb.com/rooms/7215565	51.51478	-0.13054	FALSE	90	9	9	9	9	10	9	FALSE	NA	NA	FALSE	NA		7215565	25727709	10143995ha	
98010533	https://www.rightmove.co.uk/properties/98010533#/?channel=RES_BUY	46000000	0	Not Specified	2020-10-03	Brook Street, London, W1K	51.5132	-0.1463	For sale	London	ab-7215589	Charming and modern 2BR apartment 5mins from Leicester square	Rental unit	Entire home/apt	2015-07-06	2022-03-04	United Kingdom	London	London	NA	Mayfair	NA	GBP	321.57	235.05	78142	57117	0.757	76	76	2	1	6	2019-07-14	96	within an hour	FALSE	FALSE	moderate	NA	NA	161	70	NA	NA	302	9172	2293	After 3:00 PM	10:00 AM	3	243	78	44	20	TRUE	https://www.airbnb.com/rooms/7215589	51.51398	-0.13114	FALSE	90	9	9	9	9	10	9	FALSE	NA	NA	FALSE	NA		7215589	25727709	10143992ha	
98010533	https://www.rightmove.co.uk/properties/98010533#/?channel=RES_BUY	46000000	0	Not Specified	2020-10-03	Brook Street, London, W1K	51.5132	-0.1463	For sale	London	ab-7252344	Gorgeous flat, heart of Mayfair	Apartment	Entire home/apt	2015-07-08	2021-06-15	United Kingdom	London	London	NA	Mayfair	NA	GBP	NA	NA	0	0	NA	0	68	2	2	4	2019-08-29	100	within a day	FALSE	NA	firm_30_strict	523	400	99	70	13	10	268	6922	2616	After 2:00 PM	11:00 AM	3	NA	NA	NA	17	FALSE	https://www.airbnb.com/rooms/7252344	51.50485	-0.14913	FALSE	98	10	10	10	10	10	10	FALSE	NA	NA	FALSE	NA		7252344	4697901	10604133	
98010533	https://www.rightmove.co.uk/properties/98010533#/?channel=RES_BUY	46000000	0	Not Specified	2020-10-03	Brook Street, London, W1K	51.5132	-0.1463	For sale	London	ab-7273505	Crawford Street W1	Rental unit	Entire home/apt	2015-07-09	2022-03-04	United Kingdom	London	London	NA	Mayfair	NA	GBP	168.33	123.59	12625	9270	0.517	15	63	0	1	2	2019-07-13	100	within a few hours	FALSE	FALSE	strict_14_with_grace_period	329	250	48	35	39	30	158	4235	1059	After 2:00 PM	11:00 AM	2	75	70	38	15	FALSE	https://www.airbnb.com/rooms/7273505	51.5193	-0.15631	FALSE	93	10	10	10	10	10	10	FALSE	NA	NA	FALSE	NA		7273505	35991321	7530984ha	
121141619	https://www.rightmove.co.uk/properties/121141619#/?channel=RES_BUY	850000	2	Flat	2022-03-16	William Morris Way, London, SW6	51.469421	-0.183825	For sale	London	ab-7081554	Modern 2-Bed Flat With Garden In Clapham Junction	Rental unit	Entire home/apt	2015-06-29	2021-11-18	United Kingdom	London	London	NA	Wandsworth	NA	GBP	NA	NA	0	0	NA	0	8	2	1	4	2019-09-01	100		FALSE	NA	moderate	111	85	93	68	20	15	238	6394	1598	After 3:00 PM	11:00 AM	1	NA	NA	NA	9	FALSE	https://www.airbnb.com/rooms/7081554	51.46177	-0.16861	FALSE	83	9	9	8	9	9	7	FALSE	NA	NA	FALSE	NA		7081554	27060791		
121141619	https://www.rightmove.co.uk/properties/121141619#/?channel=RES_BUY	850000	2	Flat	2022-03-16	William Morris Way, London, SW6	51.469421	-0.183825	For sale	London	ab-7082092	Large 2 Bedroom Apartment w/terrace	Rental unit	Entire home/apt	2015-06-29	2022-02-24	United Kingdom	London	London	NA	Wandsworth	NA	GBP	NA	NA	0	0	NA	0	6	2	1	6	2016-03-21	100		FALSE	NA	strict_14_with_grace_period	NA	NA	27	20	NA	NA	122	3317	342	After 5:00 PM	12:00 PM	2	NA	NA	NA	10	FALSE	https://www.airbnb.com/rooms/7082092	51.46096	-0.17269	FALSE	83	9	9	9	9	10	9	FALSE	NA	NA	FALSE	NA		7082092	36625447		
121141619	https://www.rightmove.co.uk/properties/121141619#/?channel=RES_BUY	850000	2	Flat	2022-03-16	William Morris Way, London, SW6	51.469421	-0.183825	For sale	London	ab-7264457	4 Bedroom Home in Battersea	Residential home	Entire home/apt	2015-07-08	2022-03-04	United Kingdom	London	London	NA	Wandsworth	NA	GBP	NA	NA	0	0	NA	0	0	4	3.5	8	2016-08-14	100	within a few hours	FALSE	NA	flexible	398	300	121	90	NA	NA	388	10727	2682			3	NA	NA	NA	11	FALSE	https://www.airbnb.com/rooms/7264457	51.47464	-0.16984	FALSE	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	FALSE	NA		7264457	3599565		
